"Source","Target","Source.level","Target.level","Label","Parent.Label","Colour","DSource","Unit","GEO","X2017","X2016","X2015","X2014","X2013","X2012","X2011","X2010"
"Domestic Extraction","Domestic Input","Sourcing","Availability","Metal Ores","Metal Ores","#fc8d62","env_ac_mfa.tsv","kt","EU27_2020",211449.819,206501.599,189361.392,189156.081,213604.232,184468.835,170654.262,163922.162
"Domestic Extraction","Domestic Input","Sourcing","Availability","Non-metallic Ores","Non-metallic Ores","#fc8d62","env_ac_mfa.tsv","kt","EU27_2020",2973242.244,2842182.24,2848366.985,2785731.111,2773384.281,2934908.707,3303752.384,3068830.149
"Material industry","Exports","Processing","Backflows","Metal Ores","Metal Ores","#fc8d62","env_ac_mfa.tsv","kt","EU27_2020",130546.369,123863.045,122059.714,134018.654,134641.566,139136.12,133381.09,119889.249
"Material industry","Exports","Processing","Backflows","Non-metallic Ores","Non-metallic Ores","#fc8d62","env_ac_mfa.tsv","kt","EU27_2020",103905.95,103283.063,102923.536,102171.728,96538.394,89451.351,80694.358,79047.166
"Imports","Domestic Input","Sourcing","Availability","Metal Ores","Metal Ores","#fc8d62","env_ac_mfa.tsv","kt","EU27_2020",245761.863,240139.457,245623.83,233734.92,226256.132,214252.554,239713.175,228036.241
"Imports","Domestic Input","Sourcing","Availability","Non-metallic Ores","Non-metallic Ores","#fc8d62","env_ac_mfa.tsv","kt","EU27_2020",96726.977,86854.888,82590.889,84325.018,81594.42,84354.655,100131.915,95234.462
"Domestic Input","Losses","Availability","Outflows","Metal Ores","Metal Ores","#fc8d62","env_ac_sd.tsv","kt","EU27_2020",0,0,0,0,0,0,0,0
"Domestic Input","Losses","Availability","Outflows","Non-metallic Ores","Non-metallic Ores","#fc8d62","env_ac_sd.tsv","kt","EU27_2020",36290,36102,35657,36081,33031,33287,32844,33544
"Material industry","Emissions","Processing","Outflows","Metal Ores","Metal Ores","#fc8d62","env_ac_sd.tsv","kt","EU27_2020",5680,5694,5585,5476,5427,5377,5274,5171
"Material industry","Emissions","Processing","Outflows","Non-metallic Ores","Non-metallic Ores","#fc8d62","env_ac_sd.tsv","kt","EU27_2020",11523,11788,11503,11222,11140,11059,10981,10898
"Material industry","Stocks","Processing","Services","Metal Ores","Metal Ores","#fc8d62","env_ac_sd.tsv","kt","EU27_2020",316640,312825,302712,278398,294398,248417,264995,259253
"Material industry","Stocks","Processing","Services","Non-metallic Ores","Non-metallic Ores","#fc8d62","env_ac_sd.tsv","kt","EU27_2020",2241484,2090630,2063253,1975493,1955521,2109979,2546333,2346390
"Domestic Input","Material industry","Availability","Processing","Metal Ores","Metal Ores","#fc8d62","env_ac_sd.tsv","kt","EU27_2020",412260,404254,397290,376126,390802,343498,356999,348182
"Domestic Input","Material industry","Availability","Processing","Non-metallic Ores","Non-metallic Ores","#fc8d62","env_ac_sd.tsv","kt","EU27_2020",3629387,3460494,3452267,3383656,3382365,3555504,3957888,3723977
"Waste treatment","Landfill","Backflows","Outflows","Biomass","Biomass","#66c2a5","env_wassd.tsv","kt","EU27_2020",31154,31961,35554,39147,42480,45814,51954,58095
"Waste treatment","Landfill","Backflows","Outflows","Metal Ores","Metal Ores","#fc8d62","env_wassd.tsv","kt","EU27_2020",4339,4258,4627,4996,5393,5790,6722,7654
