"","Source.level","Target.level","Source","Target","Label","Parent.Label","Value","Value.type","Value.info","Country","Colour","DSource","Assumption"
"2","Sourcing","Availability","Imports","Net available energy","Fossil solid","Fossil",4837644.793,"Energy_now",2017,"EU28","darkgrey","nrg_bal_c",""
"3","Sourcing","Availability","Domestic extraction","Net available energy","Fossil solid","Fossil",5211980.495,"Energy_now",2017,"EU28","darkgrey","nrg_bal_c",""
"4","Sourcing","Availability","Recycled","Net available energy","Fossil solid","Fossil",20245.226,"Energy_now",2017,"EU28","darkgrey","nrg_bal_c",""
"5","Availability","Processing","Net available energy","Electricity","Fossil solid","Fossil",2380942.977,"Energy_now",2017,"EU28","darkgrey","nrg_bal_c",""
"6","Availability","Processing","Net available energy","Heat low-T","Fossil solid","Fossil",557566.795,"Energy_now",2017,"EU28","darkgrey","nrg_bal_c",""
"7","Availability","Processing","Net available energy","Refinery & Material processing","Fossil solid","Fossil",67581.244,"Energy_now",2017,"EU28","darkgrey","nrg_bal_c",""
"8","Availability","Processing","Net available energy","Energy sector","Fossil solid","Fossil",27405.029,"Energy_now",2017,"EU28","darkgrey","nrg_bal_c",""
"9","Availability","Processing","Net available energy","Industry energy","Fossil solid","Fossil",1071764.581,"Energy_now",2017,"EU28","darkgrey","nrg_bal_c",""
"10","Processing","Services","Refinery & Material processing","Consumables","Fossil solid","Fossil",0,"Energy_now",2017,"EU28","darkgrey","nrg_bal_c","including also bitumen/infra stocks"
"11","Processing","Services","Refinery & Material processing","Transport","Fossil solid","Fossil",467.738,"Energy_now",2017,"EU28","darkgrey","nrg_bal_c",""
"12","Processing","Services","Heat low-T","Residential & other","Fossil solid","Fossil",93940.1256,"Energy_now",2017,"EU28","darkgrey","nrg_bal_c","Heat/el. shares"
"13","Processing","Services","Electricity","Residential & other","Fossil solid","Fossil",375760.5024,"Energy_now",2017,"EU28","darkgrey","nrg_bal_c","Heat/el. shares"
"14","Services","Sourcing","Consumables","Recycled","Fossil solid","Fossil",20245.226,"Energy_now",2017,"EU28","darkgrey","nrg_bal_c","Recycled are 100% consumables"
"15","Processing","Outflows","Refinery & Material processing","Exports","Fossil solid","Fossil",627704.647,"Energy_now",2017,"EU28","darkgrey","nrg_bal_c",""
"16","Sourcing","Availability","Imports","Net available energy","Fossil oil","Fossil",40525541.357,"Energy_now",2017,"EU28","darkgrey","nrg_bal_c",""
"17","Sourcing","Availability","Domestic extraction","Net available energy","Fossil oil","Fossil",3076101.446,"Energy_now",2017,"EU28","darkgrey","nrg_bal_c",""
"18","Sourcing","Availability","Recycled","Net available energy","Fossil oil","Fossil",48748.751,"Energy_now",2017,"EU28","darkgrey","nrg_bal_c",""
"19","Availability","Processing","Net available energy","Electricity","Fossil oil","Fossil",217081.08,"Energy_now",2017,"EU28","darkgrey","nrg_bal_c",""
"20","Availability","Processing","Net available energy","Heat low-T","Fossil oil","Fossil",98257.055,"Energy_now",2017,"EU28","darkgrey","nrg_bal_c",""
"21","Availability","Processing","Net available energy","Refinery & Material processing","Fossil oil","Fossil",35663628.852,"Energy_now",2017,"EU28","darkgrey","nrg_bal_c",""
"22","Availability","Processing","Net available energy","Energy sector","Fossil oil","Fossil",1273349.496,"Energy_now",2017,"EU28","darkgrey","nrg_bal_c",""
"23","Availability","Processing","Net available energy","Industry energy","Fossil oil","Fossil",16537340.437,"Energy_now",2017,"EU28","darkgrey","nrg_bal_c",""
"24","Processing","Services","Refinery & Material processing","Consumables","Fossil oil","Fossil",3039944.414,"Energy_now",2017,"EU28","darkgrey","nrg_bal_c","including also bitumen/infra stocks"
"25","Processing","Services","Refinery & Material processing","Transport","Fossil oil","Fossil",12698182.576,"Energy_now",2017,"EU28","darkgrey","nrg_bal_c",""
"26","Processing","Services","Heat low-T","Residential & other","Fossil oil","Fossil",554684.7356,"Energy_now",2017,"EU28","darkgrey","nrg_bal_c","Heat/el. shares"
"27","Processing","Services","Electricity","Residential & other","Fossil oil","Fossil",2218738.9424,"Energy_now",2017,"EU28","darkgrey","nrg_bal_c","Heat/el. shares"
"28","Services","Sourcing","Consumables","Recycled","Fossil oil","Fossil",48748.751,"Energy_now",2017,"EU28","darkgrey","nrg_bal_c","Recycled are 100% consumables"
"29","Processing","Outflows","Refinery & Material processing","Exports","Fossil oil","Fossil",17721003.309,"Energy_now",2017,"EU28","darkgrey","nrg_bal_c",""
"30","Sourcing","Availability","Imports","Net available energy","Fossil gas","Fossil",16402780.213,"Energy_now",2017,"EU28","darkgrey","nrg_bal_c",""
"31","Sourcing","Availability","Domestic extraction","Net available energy","Fossil gas","Fossil",4318001.006,"Energy_now",2017,"EU28","darkgrey","nrg_bal_c",""
"32","Sourcing","Availability","Recycled","Net available energy","Fossil gas","Fossil",0,"Energy_now",2017,"EU28","darkgrey","nrg_bal_c",""
"33","Availability","Processing","Net available energy","Electricity","Fossil gas","Fossil",2388662.371,"Energy_now",2017,"EU28","darkgrey","nrg_bal_c",""
"34","Availability","Processing","Net available energy","Heat low-T","Fossil gas","Fossil",908298.7,"Energy_now",2017,"EU28","darkgrey","nrg_bal_c",""
"35","Availability","Processing","Net available energy","Refinery & Material processing","Fossil gas","Fossil",641849.126,"Energy_now",2017,"EU28","darkgrey","nrg_bal_c",""
"36","Availability","Processing","Net available energy","Energy sector","Fossil gas","Fossil",704920.519,"Energy_now",2017,"EU28","darkgrey","nrg_bal_c",""
"37","Availability","Processing","Net available energy","Industry energy","Fossil gas","Fossil",9987718.092,"Energy_now",2017,"EU28","darkgrey","nrg_bal_c",""
"38","Processing","Services","Refinery & Material processing","Consumables","Fossil gas","Fossil",641849.126,"Energy_now",2017,"EU28","darkgrey","nrg_bal_c","including also bitumen/infra stocks"
"39","Processing","Services","Refinery & Material processing","Transport","Fossil gas","Fossil",135122.238,"Energy_now",2017,"EU28","darkgrey","nrg_bal_c",""
"40","Processing","Services","Heat low-T","Residential & other","Fossil gas","Fossil",1274058.6138,"Energy_now",2017,"EU28","darkgrey","nrg_bal_c","Heat/el. shares"
"41","Processing","Services","Electricity","Residential & other","Fossil gas","Fossil",5096234.4552,"Energy_now",2017,"EU28","darkgrey","nrg_bal_c","Heat/el. shares"
"42","Services","Sourcing","Consumables","Recycled","Fossil gas","Fossil",0,"Energy_now",2017,"EU28","darkgrey","nrg_bal_c","Recycled are 100% consumables"
"43","Processing","Outflows","Refinery & Material processing","Exports","Fossil gas","Fossil",4034358.282,"Energy_now",2017,"EU28","darkgrey","nrg_bal_c",""
"44","Sourcing","Availability","Imports","Net available energy","Biogases","Bio",0,"Energy_now",2017,"EU28","darkolivegreen1","nrg_bal_c",""
"45","Sourcing","Availability","Domestic extraction","Net available energy","Biogases","Bio",697678.37,"Energy_now",2017,"EU28","darkolivegreen1","nrg_bal_c",""
"46","Sourcing","Availability","Recycled","Net available energy","Biogases","Bio",0,"Energy_now",2017,"EU28","darkolivegreen1","nrg_bal_c",""
"47","Availability","Processing","Net available energy","Electricity","Biogases","Bio",222133.004,"Energy_now",2017,"EU28","darkolivegreen1","nrg_bal_c",""
"48","Availability","Processing","Net available energy","Heat low-T","Biogases","Bio",29511.622,"Energy_now",2017,"EU28","darkolivegreen1","nrg_bal_c",""
"49","Availability","Processing","Net available energy","Refinery & Material processing","Biogases","Bio",0,"Energy_now",2017,"EU28","darkolivegreen1","nrg_bal_c",""
"50","Availability","Processing","Net available energy","Energy sector","Biogases","Bio",22988.017,"Energy_now",2017,"EU28","darkolivegreen1","nrg_bal_c",""
"51","Availability","Processing","Net available energy","Industry energy","Biogases","Bio",114233.078,"Energy_now",2017,"EU28","darkolivegreen1","nrg_bal_c",""
"52","Processing","Services","Refinery & Material processing","Consumables","Biogases","Bio",0,"Energy_now",2017,"EU28","darkolivegreen1","nrg_bal_c","including also bitumen/infra stocks"
"53","Processing","Services","Refinery & Material processing","Transport","Biogases","Bio",6281.529,"Energy_now",2017,"EU28","darkolivegreen1","nrg_bal_c",""
"54","Processing","Services","Heat low-T","Residential & other","Biogases","Bio",17084.5542,"Energy_now",2017,"EU28","darkolivegreen1","nrg_bal_c","Heat/el. shares"
"55","Processing","Services","Electricity","Residential & other","Biogases","Bio",68338.2168,"Energy_now",2017,"EU28","darkolivegreen1","nrg_bal_c","Heat/el. shares"
"56","Services","Sourcing","Consumables","Recycled","Biogases","Bio",0,"Energy_now",2017,"EU28","darkolivegreen1","nrg_bal_c","Recycled are 100% consumables"
"57","Processing","Outflows","Refinery & Material processing","Exports","Biogases","Bio",0,"Energy_now",2017,"EU28","darkolivegreen1","nrg_bal_c",""
"58","Sourcing","Availability","Imports","Net available energy","Bio solid","Bio",408024.669,"Energy_now",2017,"EU28","darkolivegreen1","nrg_bal_c",""
"59","Sourcing","Availability","Domestic extraction","Net available energy","Bio solid","Bio",3963170.11,"Energy_now",2017,"EU28","darkolivegreen1","nrg_bal_c",""
"60","Sourcing","Availability","Recycled","Net available energy","Bio solid","Bio",0,"Energy_now",2017,"EU28","darkolivegreen1","nrg_bal_c",""
"61","Availability","Processing","Net available energy","Electricity","Bio solid","Bio",341210.907,"Energy_now",2017,"EU28","darkolivegreen1","nrg_bal_c",""
"62","Availability","Processing","Net available energy","Heat low-T","Bio solid","Bio",457826.547,"Energy_now",2017,"EU28","darkolivegreen1","nrg_bal_c",""
"63","Availability","Processing","Net available energy","Refinery & Material processing","Bio solid","Bio",0,"Energy_now",2017,"EU28","darkolivegreen1","nrg_bal_c",""
"64","Availability","Processing","Net available energy","Energy sector","Bio solid","Bio",1115.091,"Energy_now",2017,"EU28","darkolivegreen1","nrg_bal_c",""
"65","Availability","Processing","Net available energy","Industry energy","Bio solid","Bio",2899947.38,"Energy_now",2017,"EU28","darkolivegreen1","nrg_bal_c",""
"66","Processing","Services","Refinery & Material processing","Consumables","Bio solid","Bio",0,"Energy_now",2017,"EU28","darkolivegreen1","nrg_bal_c","including also bitumen/infra stocks"
"67","Processing","Services","Refinery & Material processing","Transport","Bio solid","Bio",5.362,"Energy_now",2017,"EU28","darkolivegreen1","nrg_bal_c",""
"68","Processing","Services","Heat low-T","Residential & other","Bio solid","Bio",403567.3454,"Energy_now",2017,"EU28","darkolivegreen1","nrg_bal_c","Heat/el. shares"
"69","Processing","Services","Electricity","Residential & other","Bio solid","Bio",1614269.3816,"Energy_now",2017,"EU28","darkolivegreen1","nrg_bal_c","Heat/el. shares"
"70","Services","Sourcing","Consumables","Recycled","Bio solid","Bio",0,"Energy_now",2017,"EU28","darkolivegreen1","nrg_bal_c","Recycled are 100% consumables"
"71","Processing","Outflows","Refinery & Material processing","Exports","Bio solid","Bio",197130.757,"Energy_now",2017,"EU28","darkolivegreen1","nrg_bal_c",""
"72","Sourcing","Availability","Imports","Net available energy","Bio liquid","Bio",28135.005,"Energy_now",2017,"EU28","darkolivegreen1","nrg_bal_c",""
"73","Sourcing","Availability","Domestic extraction","Net available energy","Bio liquid","Bio",18492.394,"Energy_now",2017,"EU28","darkolivegreen1","nrg_bal_c",""
"74","Sourcing","Availability","Recycled","Net available energy","Bio liquid","Bio",0,"Energy_now",2017,"EU28","darkolivegreen1","nrg_bal_c",""
"75","Availability","Processing","Net available energy","Electricity","Bio liquid","Bio",17867.553,"Energy_now",2017,"EU28","darkolivegreen1","nrg_bal_c",""
"76","Availability","Processing","Net available energy","Heat low-T","Bio liquid","Bio",4135.703,"Energy_now",2017,"EU28","darkolivegreen1","nrg_bal_c",""
"77","Availability","Processing","Net available energy","Refinery & Material processing","Bio liquid","Bio",0,"Energy_now",2017,"EU28","darkolivegreen1","nrg_bal_c",""
"78","Availability","Processing","Net available energy","Energy sector","Bio liquid","Bio",1891.496,"Energy_now",2017,"EU28","darkolivegreen1","nrg_bal_c",""
"79","Availability","Processing","Net available energy","Industry energy","Bio liquid","Bio",2686.212,"Energy_now",2017,"EU28","darkolivegreen1","nrg_bal_c",""
"80","Processing","Services","Refinery & Material processing","Consumables","Bio liquid","Bio",0,"Energy_now",2017,"EU28","darkolivegreen1","nrg_bal_c","including also bitumen/infra stocks"
"81","Processing","Services","Refinery & Material processing","Transport","Bio liquid","Bio",70.732,"Energy_now",2017,"EU28","darkolivegreen1","nrg_bal_c",""
"82","Processing","Services","Heat low-T","Residential & other","Bio liquid","Bio",250.88,"Energy_now",2017,"EU28","darkolivegreen1","nrg_bal_c","Heat/el. shares"
"83","Processing","Services","Electricity","Residential & other","Bio liquid","Bio",1003.52,"Energy_now",2017,"EU28","darkolivegreen1","nrg_bal_c","Heat/el. shares"
"84","Services","Sourcing","Consumables","Recycled","Bio liquid","Bio",0,"Energy_now",2017,"EU28","darkolivegreen1","nrg_bal_c","Recycled are 100% consumables"
"85","Processing","Outflows","Refinery & Material processing","Exports","Bio liquid","Bio",0,"Energy_now",2017,"EU28","darkolivegreen1","nrg_bal_c",""
"86","Sourcing","Availability","Imports","Net available energy","Renewable electricity","REN",0,"Energy_now",2017,"EU28","deepskyblue1","nrg_bal_c",""
"87","Sourcing","Availability","Domestic extraction","Net available energy","Renewable electricity","REN",2794442.696,"Energy_now",2017,"EU28","deepskyblue1","nrg_bal_c",""
"88","Sourcing","Availability","Recycled","Net available energy","Renewable electricity","REN",0,"Energy_now",2017,"EU28","deepskyblue1","nrg_bal_c",""
"89","Availability","Processing","Net available energy","Electricity","Renewable electricity","REN",2906004.81,"Energy_now",2017,"EU28","deepskyblue1","nrg_bal_c",""
"90","Availability","Processing","Net available energy","Heat low-T","Renewable electricity","REN",0,"Energy_now",2017,"EU28","deepskyblue1","nrg_bal_c",""
"91","Availability","Processing","Net available energy","Refinery & Material processing","Renewable electricity","REN",0,"Energy_now",2017,"EU28","deepskyblue1","nrg_bal_c",""
"92","Availability","Processing","Net available energy","Energy sector","Renewable electricity","REN",0,"Energy_now",2017,"EU28","deepskyblue1","nrg_bal_c",""
"93","Availability","Processing","Net available energy","Industry energy","Renewable electricity","REN",0,"Energy_now",2017,"EU28","deepskyblue1","nrg_bal_c",""
"94","Processing","Services","Refinery & Material processing","Consumables","Renewable electricity","REN",0,"Energy_now",2017,"EU28","deepskyblue1","nrg_bal_c","including also bitumen/infra stocks"
"95","Processing","Services","Refinery & Material processing","Transport","Renewable electricity","REN",0,"Energy_now",2017,"EU28","deepskyblue1","nrg_bal_c",""
"96","Processing","Services","Heat low-T","Residential & other","Renewable electricity","REN",0,"Energy_now",2017,"EU28","deepskyblue1","nrg_bal_c","Heat/el. shares"
"97","Processing","Services","Electricity","Residential & other","Renewable electricity","REN",0,"Energy_now",2017,"EU28","deepskyblue1","nrg_bal_c","Heat/el. shares"
"98","Services","Sourcing","Consumables","Recycled","Renewable electricity","REN",0,"Energy_now",2017,"EU28","deepskyblue1","nrg_bal_c","Recycled are 100% consumables"
"99","Processing","Outflows","Refinery & Material processing","Exports","Renewable electricity","REN",0,"Energy_now",2017,"EU28","deepskyblue1","nrg_bal_c",""
"100","Sourcing","Availability","Imports","Net available energy","Renewable heat","REN",0,"Energy_now",2017,"EU28","deepskyblue1","nrg_bal_c",""
"101","Sourcing","Availability","Domestic extraction","Net available energy","Renewable heat","REN",975009.381,"Energy_now",2017,"EU28","deepskyblue1","nrg_bal_c",""
"102","Sourcing","Availability","Recycled","Net available energy","Renewable heat","REN",0,"Energy_now",2017,"EU28","deepskyblue1","nrg_bal_c",""
"103","Availability","Processing","Net available energy","Electricity","Renewable heat","REN",45352.94,"Energy_now",2017,"EU28","deepskyblue1","nrg_bal_c",""
"104","Availability","Processing","Net available energy","Heat low-T","Renewable heat","REN",24371.108,"Energy_now",2017,"EU28","deepskyblue1","nrg_bal_c",""
"105","Availability","Processing","Net available energy","Refinery & Material processing","Renewable heat","REN",0,"Energy_now",2017,"EU28","deepskyblue1","nrg_bal_c",""
"106","Availability","Processing","Net available energy","Energy sector","Renewable heat","REN",17.674,"Energy_now",2017,"EU28","deepskyblue1","nrg_bal_c",""
"107","Availability","Processing","Net available energy","Industry energy","Renewable heat","REN",603329.932,"Energy_now",2017,"EU28","deepskyblue1","nrg_bal_c",""
"108","Processing","Services","Refinery & Material processing","Consumables","Renewable heat","REN",0,"Energy_now",2017,"EU28","deepskyblue1","nrg_bal_c","including also bitumen/infra stocks"
"109","Processing","Services","Refinery & Material processing","Transport","Renewable heat","REN",0,"Energy_now",2017,"EU28","deepskyblue1","nrg_bal_c",""
"110","Processing","Services","Heat low-T","Residential & other","Renewable heat","REN",117978.8032,"Energy_now",2017,"EU28","deepskyblue1","nrg_bal_c","Heat/el. shares"
"111","Processing","Services","Electricity","Residential & other","Renewable heat","REN",471915.2128,"Energy_now",2017,"EU28","deepskyblue1","nrg_bal_c","Heat/el. shares"
"112","Services","Sourcing","Consumables","Recycled","Renewable heat","REN",0,"Energy_now",2017,"EU28","deepskyblue1","nrg_bal_c","Recycled are 100% consumables"
"113","Processing","Outflows","Refinery & Material processing","Exports","Renewable heat","REN",0,"Energy_now",2017,"EU28","deepskyblue1","nrg_bal_c",""
"114","Sourcing","Availability","Imports","Net available energy","Biogenic wastes","Bio",19058.707,"Energy_now",2017,"EU28","darkolivegreen1","nrg_bal_c",""
"115","Sourcing","Availability","Recycled","Net available energy","Biogenic wastes","Bio",416880.314,"Energy_now",2017,"EU28","darkolivegreen1","nrg_bal_c",""
"117","Availability","Processing","Net available energy","Electricity","Biogenic wastes","Bio",79904.328,"Energy_now",2017,"EU28","darkolivegreen1","nrg_bal_c",""
"118","Availability","Processing","Net available energy","Heat low-T","Biogenic wastes","Bio",121631.243,"Energy_now",2017,"EU28","darkolivegreen1","nrg_bal_c",""
"119","Availability","Processing","Net available energy","Refinery & Material processing","Biogenic wastes","Bio",0,"Energy_now",2017,"EU28","darkolivegreen1","nrg_bal_c",""
"120","Availability","Processing","Net available energy","Energy sector","Biogenic wastes","Bio",0,"Energy_now",2017,"EU28","darkolivegreen1","nrg_bal_c",""
"121","Availability","Processing","Net available energy","Industry energy","Biogenic wastes","Bio",37218.601,"Energy_now",2017,"EU28","darkolivegreen1","nrg_bal_c",""
"122","Processing","Services","Refinery & Material processing","Consumables","Biogenic wastes","Bio",0,"Energy_now",2017,"EU28","darkolivegreen1","nrg_bal_c","including also bitumen/infra stocks"
"123","Processing","Services","Refinery & Material processing","Transport","Biogenic wastes","Bio",0,"Energy_now",2017,"EU28","darkolivegreen1","nrg_bal_c",""
"124","Processing","Services","Heat low-T","Residential & other","Biogenic wastes","Bio",1535.975,"Energy_now",2017,"EU28","darkolivegreen1","nrg_bal_c","Heat/el. shares"
"125","Processing","Services","Electricity","Residential & other","Biogenic wastes","Bio",6143.9,"Energy_now",2017,"EU28","darkolivegreen1","nrg_bal_c","Heat/el. shares"
"126","Services","Sourcing","Consumables","Recycled","Biogenic wastes","Bio",0,"Energy_now",2017,"EU28","darkolivegreen1","nrg_bal_c","Recycled are 100% consumables"
"127","Processing","Outflows","Refinery & Material processing","Exports","Biogenic wastes","Bio",1724.6,"Energy_now",2017,"EU28","darkolivegreen1","nrg_bal_c",""
"128","Sourcing","Availability","Imports","Net available energy","non-renewable wastes","Fossil",20451.884,"Energy_now",2017,"EU28","darkgrey","nrg_bal_c",""
"129","Sourcing","Availability","Recycled","Net available energy","non-renewable wastes","Fossil",596659.695,"Energy_now",2017,"EU28","darkgrey","nrg_bal_c",""
"131","Availability","Processing","Net available energy","Electricity","non-renewable wastes","Fossil",90698.647,"Energy_now",2017,"EU28","darkgrey","nrg_bal_c",""
"132","Availability","Processing","Net available energy","Heat low-T","non-renewable wastes","Fossil",129799.38,"Energy_now",2017,"EU28","darkgrey","nrg_bal_c",""
"133","Availability","Processing","Net available energy","Refinery & Material processing","non-renewable wastes","Fossil",0,"Energy_now",2017,"EU28","darkgrey","nrg_bal_c",""
"134","Availability","Processing","Net available energy","Energy sector","non-renewable wastes","Fossil",1652.301,"Energy_now",2017,"EU28","darkgrey","nrg_bal_c",""
"135","Availability","Processing","Net available energy","Industry energy","non-renewable wastes","Fossil",168596.934,"Energy_now",2017,"EU28","darkgrey","nrg_bal_c",""
"136","Processing","Services","Refinery & Material processing","Consumables","non-renewable wastes","Fossil",0,"Energy_now",2017,"EU28","darkgrey","nrg_bal_c","including also bitumen/infra stocks"
"137","Processing","Services","Refinery & Material processing","Transport","non-renewable wastes","Fossil",0,"Energy_now",2017,"EU28","darkgrey","nrg_bal_c",""
"138","Processing","Services","Heat low-T","Residential & other","non-renewable wastes","Fossil",2212.1248,"Energy_now",2017,"EU28","darkgrey","nrg_bal_c","Heat/el. shares"
"139","Processing","Services","Electricity","Residential & other","non-renewable wastes","Fossil",8848.4992,"Energy_now",2017,"EU28","darkgrey","nrg_bal_c","Heat/el. shares"
"140","Services","Sourcing","Consumables","Recycled","non-renewable wastes","Fossil",0,"Energy_now",2017,"EU28","darkgrey","nrg_bal_c","Recycled are 100% consumables"
"141","Processing","Outflows","Refinery & Material processing","Exports","non-renewable wastes","Fossil",1529.4,"Energy_now",2017,"EU28","darkgrey","nrg_bal_c",""
"142","Sourcing","Availability","Imports","Net available energy","Nuclear heat","REN",0,"Energy_now",2017,"EU28","deepskyblue1","nrg_bal_c",""
"143","Sourcing","Availability","Domestic extraction","Net available energy","Nuclear heat","REN",8822656.688,"Energy_now",2017,"EU28","deepskyblue1","nrg_bal_c",""
"144","Sourcing","Availability","Recycled","Net available energy","Nuclear heat","REN",0,"Energy_now",2017,"EU28","deepskyblue1","nrg_bal_c",""
"145","Availability","Processing","Net available energy","Electricity","Nuclear heat","REN",2986988.648,"Energy_now",2017,"EU28","deepskyblue1","nrg_bal_c",""
"146","Availability","Processing","Net available energy","Heat low-T","Nuclear heat","REN",4337.204,"Energy_now",2017,"EU28","deepskyblue1","nrg_bal_c",""
"147","Availability","Processing","Net available energy","Refinery & Material processing","Nuclear heat","REN",0,"Energy_now",2017,"EU28","deepskyblue1","nrg_bal_c",""
"148","Availability","Processing","Net available energy","Energy sector","Nuclear heat","REN",0,"Energy_now",2017,"EU28","deepskyblue1","nrg_bal_c",""
"149","Availability","Processing","Net available energy","Industry energy","Nuclear heat","REN",0,"Energy_now",2017,"EU28","deepskyblue1","nrg_bal_c",""
"150","Processing","Services","Refinery & Material processing","Consumables","Nuclear heat","REN",0,"Energy_now",2017,"EU28","deepskyblue1","nrg_bal_c","including also bitumen/infra stocks"
"151","Processing","Services","Refinery & Material processing","Transport","Nuclear heat","REN",0,"Energy_now",2017,"EU28","deepskyblue1","nrg_bal_c",""
"152","Processing","Services","Heat low-T","Residential & other","Nuclear heat","REN",0,"Energy_now",2017,"EU28","deepskyblue1","nrg_bal_c","Heat/el. shares"
"153","Processing","Services","Electricity","Residential & other","Nuclear heat","REN",0,"Energy_now",2017,"EU28","deepskyblue1","nrg_bal_c","Heat/el. shares"
"154","Services","Sourcing","Consumables","Recycled","Nuclear heat","REN",0,"Energy_now",2017,"EU28","deepskyblue1","nrg_bal_c","Recycled are 100% consumables"
"155","Processing","Outflows","Refinery & Material processing","Exports","Nuclear heat","REN",0,"Energy_now",2017,"EU28","deepskyblue1","nrg_bal_c",""
"1541","Processing","Services","Refinery & Material processing","Infrastructure","Fossil oil","Fossil",555846.417,"Energy_now",2017,"EU28","darkgrey","nrg_bal_c",""
"1551","Processing","Services","Refinery & Material processing","Building stock","Fossil solid","Fossil",70152.916,"Energy_now",2017,"EU28","darkgrey","nrg_bal_c","100% metallurgic coal, 0%longlife products, 100% construction"
"156","Services","Sourcing","Consumables","Recycled","non-renewable wastes","Fossil",596659.695,"Energy_now",2017,"EU28","darkgrey","nrg_bal_c","Recycled are 100% consumables"
