"","Source.level","Target.level","Source","Target","Label","Parent.Label","Value","Value.type","Value.info","Country","Colour","DSource","Assumption"
"2","Sourcing","Availability","Imports","Net-available non-renewable","Fossil solid","Fossil",205332.970840407,"Mass_now",2017,"EU28","darkgrey","nrg_bal_c",""
"3","Sourcing","Availability","Domestic extraction","Net-available non-renewable","Fossil solid","Fossil",221221.582979626,"Mass_now",2017,"EU28","darkgrey","nrg_bal_c",""
"4","Sourcing","Availability","Recycled","Net-available non-renewable","Fossil solid","Fossil",859.305008488964,"Mass_now",2017,"EU28","darkgrey","nrg_bal_c",""
"5","Availability","Processing","Net-available non-renewable","Electricity","Fossil solid","Fossil",101058.700212224,"Mass_now",2017,"EU28","darkgrey","nrg_bal_c",""
"6","Availability","Processing","Net-available non-renewable","Heat low-T","Fossil solid","Fossil",23665.8232173175,"Mass_now",2017,"EU28","darkgrey","nrg_bal_c",""
"7","Availability","Processing","Net-available non-renewable","Refinery & Material processing","Fossil solid","Fossil",2868.47385398981,"Mass_now",2017,"EU28","darkgrey","nrg_bal_c",""
"8","Availability","Processing","Net-available non-renewable","Energy sector","Fossil solid","Fossil",1163.2015704584,"Mass_now",2017,"EU28","darkgrey","nrg_bal_c",""
"9","Availability","Processing","Net-available non-renewable","Industry energy","Fossil solid","Fossil",45490.8565789474,"Mass_now",2017,"EU28","darkgrey","nrg_bal_c",""
"10","Processing","Services","Refinery & Material processing","Consumables","Fossil solid","Fossil",0,"Mass_now",2017,"EU28","darkgrey","nrg_bal_c","including also bitumen/infra stocks"
"11","Processing","Services","Refinery & Material processing","Transport","Fossil solid","Fossil",19.8530560271647,"Mass_now",2017,"EU28","darkgrey","nrg_bal_c",""
"12","Processing","Services","Heat low-T","Residential & other","Fossil solid","Fossil",3987.27188455009,"Mass_now",2017,"EU28","darkgrey","nrg_bal_c","Heat/el. shares"
"13","Processing","Services","Electricity","Residential & other","Fossil solid","Fossil",15949.0875382003,"Mass_now",2017,"EU28","darkgrey","nrg_bal_c","Heat/el. shares"
"14","Services","Back-outflows","Consumables","Recycled","Fossil solid","Fossil",859.305008488964,"Mass_now",2017,"EU28","darkgrey","nrg_bal_c","Recycled are 100% consumables"
"15","Processing","Back-outflows","Refinery & Material processing","Exports","Fossil solid","Fossil",26642.8118421053,"Mass_now",2017,"EU28","darkgrey","nrg_bal_c",""
"16","Sourcing","Availability","Imports","Net-available non-renewable","Fossil oil","Fossil",944651.313682984,"Mass_now",2017,"EU28","darkgrey","nrg_bal_c",""
"17","Sourcing","Availability","Domestic extraction","Net-available non-renewable","Fossil oil","Fossil",71703.9964102564,"Mass_now",2017,"EU28","darkgrey","nrg_bal_c",""
"18","Sourcing","Availability","Recycled","Net-available non-renewable","Fossil oil","Fossil",1136.33452214452,"Mass_now",2017,"EU28","darkgrey","nrg_bal_c",""
"19","Availability","Processing","Net-available non-renewable","Electricity","Fossil oil","Fossil",5060.16503496503,"Mass_now",2017,"EU28","darkgrey","nrg_bal_c",""
"20","Availability","Processing","Net-available non-renewable","Heat low-T","Fossil oil","Fossil",2290.37424242424,"Mass_now",2017,"EU28","darkgrey","nrg_bal_c",""
"21","Availability","Processing","Net-available non-renewable","Refinery & Material processing","Fossil oil","Fossil",831320.01986014,"Mass_now",2017,"EU28","darkgrey","nrg_bal_c",""
"22","Availability","Processing","Net-available non-renewable","Energy sector","Fossil oil","Fossil",29681.8064335664,"Mass_now",2017,"EU28","darkgrey","nrg_bal_c",""
"23","Availability","Processing","Net-available non-renewable","Industry energy","Fossil oil","Fossil",385485.791072261,"Mass_now",2017,"EU28","darkgrey","nrg_bal_c",""
"24","Processing","Services","Refinery & Material processing","Consumables","Fossil oil","Fossil",70861.1751515152,"Mass_now",2017,"EU28","darkgrey","nrg_bal_c","including also bitumen/infra stocks"
"25","Processing","Services","Refinery & Material processing","Transport","Fossil oil","Fossil",295994.931841492,"Mass_now",2017,"EU28","darkgrey","nrg_bal_c",""
"26","Processing","Services","Heat low-T","Residential & other","Fossil oil","Fossil",12929.7141165501,"Mass_now",2017,"EU28","darkgrey","nrg_bal_c","Heat/el. shares"
"27","Processing","Services","Electricity","Residential & other","Fossil oil","Fossil",51718.8564662005,"Mass_now",2017,"EU28","darkgrey","nrg_bal_c","Heat/el. shares"
"28","Services","Back-outflows","Consumables","Recycled","Fossil oil","Fossil",1136.33452214452,"Mass_now",2017,"EU28","darkgrey","nrg_bal_c","Recycled are 100% consumables"
"29","Processing","Back-outflows","Refinery & Material processing","Exports","Fossil oil","Fossil",413077.00020979,"Mass_now",2017,"EU28","darkgrey","nrg_bal_c",""
"30","Sourcing","Availability","Imports","Net-available non-renewable","Fossil gas","Fossil",343633.663680168,"Mass_now",2017,"EU28","darkgrey","nrg_bal_c",""
"31","Sourcing","Availability","Domestic extraction","Net-available non-renewable","Fossil gas","Fossil",90460.9149301676,"Mass_now",2017,"EU28","darkgrey","nrg_bal_c",""
"32","Sourcing","Availability","Recycled","Net-available non-renewable","Fossil gas","Fossil",0,"Mass_now",2017,"EU28","darkgrey","nrg_bal_c",""
"33","Availability","Processing","Net-available non-renewable","Electricity","Fossil gas","Fossil",50041.809448324,"Mass_now",2017,"EU28","darkgrey","nrg_bal_c",""
"34","Availability","Processing","Net-available non-renewable","Heat low-T","Fossil gas","Fossil",19028.6040502793,"Mass_now",2017,"EU28","darkgrey","nrg_bal_c",""
