Model,Scenario,Region,Source.level,Target.level,Variable,Source,Target,Label,Parent.Label,Value,unit,year,Country,Colour,DSource
1,1,A,Sourcing,Availability,Sourcing|Availability2,Imports,Net-available non-renewable,Fossil solid,Fossil,205332.970840407,Mass_now,2017,EU28,darkgrey,nrg_bal_c
1,1,A,Sourcing,Availability,Sourcing|Availability3,Domestic extraction,Net-available non-renewable,Fossil solid,Fossil,221221.582979626,Mass_now,2017,EU28,darkgrey,nrg_bal_c
1,1,A,Sourcing,Availability,Sourcing|Availability4,Recycled,Net-available non-renewable,Fossil solid,Fossil,859.305008488964,Mass_now,2017,EU28,darkgrey,nrg_bal_c
1,1,A,Availability,Processing,Availability|Processing5,Net-available non-renewable,Electricity,Fossil solid,Fossil,101058.700212224,Mass_now,2017,EU28,darkgrey,nrg_bal_c
1,1,A,Availability,Processing,Availability|Processing6,Net-available non-renewable,Heat low-T,Fossil solid,Fossil,23665.8232173175,Mass_now,2017,EU28,darkgrey,nrg_bal_c
1,1,A,Availability,Processing,Availability|Processing7,Net-available non-renewable,Refinery & Material processing,Fossil solid,Fossil,2868.47385398981,Mass_now,2017,EU28,darkgrey,nrg_bal_c
1,1,A,Availability,Processing,Availability|Processing8,Net-available non-renewable,Energy sector,Fossil solid,Fossil,1163.2015704584,Mass_now,2017,EU28,darkgrey,nrg_bal_c
1,1,A,Availability,Processing,Availability|Processing9,Net-available non-renewable,Industry energy,Fossil solid,Fossil,45490.8565789474,Mass_now,2017,EU28,darkgrey,nrg_bal_c
1,1,A,Processing,Services,Processing|Services10,Refinery & Material processing,Consumables,Fossil solid,Fossil,0,Mass_now,2017,EU28,darkgrey,nrg_bal_c
1,1,A,Processing,Services,Processing|Services11,Refinery & Material processing,Transport,Fossil solid,Fossil,19.8530560271647,Mass_now,2017,EU28,darkgrey,nrg_bal_c
1,1,A,Processing,Services,Processing|Services12,Heat low-T,Residential & other,Fossil solid,Fossil,3987.27188455009,Mass_now,2017,EU28,darkgrey,nrg_bal_c
1,1,A,Processing,Services,Processing|Services13,Electricity,Residential & other,Fossil solid,Fossil,15949.0875382003,Mass_now,2017,EU28,darkgrey,nrg_bal_c
